fold_id,true_positive,false_positive,true_negative,false_negative,signals,events,dates,precision,specificity,sensitivity
1,247,314,6040,3743,561,10344,92,0.44028520499108736,0.9505823103556814,0.06190476190476191
2,295,271,5280,4562,566,10408,91,0.5212014134275619,0.9511799675734102,0.060737080502367716
3,473,121,2724,7079,594,10397,136,0.7962962962962963,0.957469244288225,0.0626324152542373
4,560,64,1091,8604,624,10319,231,0.8974358974358975,0.9445887445887445,0.06110868616324749
5,412,259,4853,4848,671,10372,288,0.6140089418777943,0.9493348982785602,0.07832699619771863
