fold_id,true_positive,false_positive,true_negative,false_negative,signals,baseline_signals,signal_coverage,events,dates,dates_with_signal,precision,specificity,sensitivity
1,126,160,6194,3864,286,561,0.5098039215686274,10344,92,47,0.4405594405594406,0.9748190116462071,0.031578947368421054
2,149,123,5428,4708,272,566,0.48056537102473496,10408,91,45,0.5477941176470589,0.9778418303008467,0.030677372863907763
3,256,43,2802,7296,299,594,0.5033670033670034,10397,136,64,0.8561872909698997,0.9848857644991212,0.03389830508474576
4,325,18,1137,8839,343,624,0.5496794871794872,10319,231,136,0.9475218658892128,0.9844155844155844,0.035464862505456135
5,138,60,5052,5122,198,671,0.29508196721311475,10372,288,94,0.696969696969697,0.9882629107981221,0.02623574144486692
