calendar_year,events,winning_events,nonwinning_events,losing_events_negative_return,breakeven_events,win_rate,mean_corrected_event_return,median_corrected_event_return,corrected_event_return_standard_deviation,minimum_corrected_event_return,maximum_corrected_event_return,average_winning_return,average_losing_return,payoff_ratio,gross_profit_sum,gross_loss_absolute_sum,profit_factor,upper_barrier_events,lower_barrier_events,vertical_barrier_events,mean_label_event_holding_period_observations,median_label_event_holding_period_observations,maximum_daily_fraction,portfolio_backtest_performed,confirmatory_claim_allowed
2021,298,140,158,158,0,0.4697986577181208,0.06069804583614647,-0.0215551560292796,0.22405723107559897,-0.15,0.8679166666666664,0.2675643123940898,-0.12260117769620836,2.182395939597607,37.45900373517257,19.37098607600092,1.9337685540738287,120,108,70,16.758389261744966,15.0,0.05,False,False
2022,677,488,189,189,0,0.7208271787296898,0.1827117900442792,0.18273542600896864,0.24745924753129697,-0.15,1.4499453949763375,0.2925792262106509,-0.10096709275566489,2.8977681561920123,142.77866239079765,19.082780530820664,7.4820680435010685,396,93,188,18.94682422451994,19.0,0.05,False,False
2023,483,268,215,214,1,0.5548654244306418,0.08634690192443019,0.019774011299435124,0.2648864750745726,-0.15,1.7567567567567566,0.2388354188894805,-0.10421653566766825,2.2917228764069915,64.00789226238078,22.302338632881007,2.870008088210625,166,111,206,20.875776397515526,24.0,0.05,False,False
2024,357,127,230,230,0,0.3557422969187675,-0.0016849007207122072,-0.05359179019384264,0.16504437343485337,-0.15,0.8524916943521597,0.18097650477450997,-0.10254576375503054,1.764836480294213,22.984016106362766,23.585525663657023,0.974496665205935,89,97,171,22.198879551820728,29.0,0.05,False,False
