signal_fraction,development_fold_count,minimum_signals_per_fold,mean_signal_rate,worst_fold_precision,mean_precision,worst_fold_precision_lift,mean_precision_lift,worst_fold_specificity,mean_specificity,mean_sensitivity,eligible,within_near_best_worst_lift_band,selected
0.05,4,561,0.056554606193476034,0.41889483065953653,0.6504795382594957,0.004557655656357129,0.03377327742745438,0.941991341991342,0.9485132701889637,0.06019561667243646,True,True,True
0.075,4,824,0.08175618103294065,0.4072727272727273,0.6492635498831576,0.00619266762601467,0.03255728905111628,0.9186147186147187,0.9254955193411347,0.08678101752448672,True,True,False
0.2,4,2101,0.20514945206005966,0.38933841028081867,0.6314027073134668,0.0036075518121411743,0.014696446481425582,0.7980799496380233,0.8063705940425896,0.21010183015473868,True,True,False
0.15,4,1598,0.1563674871630113,0.3879849812265332,0.6313413389141239,0.002254122757855692,0.014635078082082698,0.846081208687441,0.8528923824142624,0.15996692932382123,True,True,False
0.1,4,1072,0.10589371612392129,0.396455223880597,0.6398732200424997,0.0006220300334522921,0.023166959210458346,0.8909090909090909,0.9006398671515756,0.1103852698022151,True,False,False
0.025,4,303,0.0317655189388677,0.4144736842105263,0.6542838604957355,-0.005717608295377485,0.037577599663694256,0.9619047619047619,0.9703222293913764,0.034107453892497024,False,False,False
