fold_id,train_events,symbols,minimum_raw_average_uniqueness,mean_raw_average_uniqueness,median_raw_average_uniqueness,maximum_raw_average_uniqueness,minimum_sample_weight,mean_sample_weight,maximum_sample_weight,sum_sample_weight,effective_sample_size,effective_sample_fraction,minimum_event_duration_observations,median_event_duration_observations,maximum_event_duration_observations,maximum_symbol_concurrency,nonfinite_raw_uniqueness,nonfinite_sample_weight,nonpositive_sample_weight,validation_events_used,weight_source_scope,concurrency_scope,normalization,train_end_date,validation_start_date,validation_end_date,validation_events
1,62717,443,0.032258064516128115,0.09618529911352694,0.06613131468102385,1.0000000000000009,0.33537416646232093,0.9999999999999998,10.396599160332254,62716.999999999985,30626.667617612966,0.48833119596940167,2,31.0,31,31,0,0,0,0,current_fold_training_events_only,within_symbol,fold_train_mean_one,2017-08-06,2017-09-19,2018-01-31,10344
2,73590,469,0.032258064516128115,0.09413981917804619,0.06484685522374213,1.0000000000000009,0.34266121177818065,1.0000000000000002,10.622497565123911,73590.00000000001,36128.54806780522,0.4909437161000845,2,31.0,31,31,0,0,0,0,current_fold_training_events_only,within_symbol,fold_train_mean_one,2017-12-20,2018-02-03,2018-06-27,10408
3,83825,486,0.032258064516128115,0.09382988527231612,0.06459267052620729,1.0000000000000009,0.3437930721380264,1.0,10.65758523627913,83825.0,41040.725928145475,0.4896000707204948,2,31.0,31,31,0,0,0,0,current_fold_training_events_only,within_symbol,fold_train_mean_one,2018-05-12,2018-06-30,2019-01-15,10397
4,94059,495,0.032258064516128115,0.0976783470184141,0.06614158645505579,1.000000000000001,0.3302478543176708,1.0,10.237683483848098,94059.0,45398.377888881936,0.4826585216606804,2,31.0,31,31,0,0,0,0,current_fold_training_events_only,within_symbol,fold_train_mean_one,2018-12-04,2019-01-16,2020-01-04,10319
5,107360,499,0.032258064516128115,0.10132161081849854,0.06739728342374715,1.0000000000000029,0.31837299323945095,1.0,9.869562790423288,107360.0,50529.41436401055,0.4706540086066556,2,29.0,31,31,0,0,0,0,current_fold_training_events_only,within_symbol,fold_train_mean_one,2019-11-23,2020-01-05,2021-03-17,10372
