method,development_folds,mean_brier_score,worst_fold_brier_score,mean_log_loss,worst_fold_log_loss,mean_expected_calibration_error,mean_roc_auc,worst_auc_drop_vs_raw,mean_brier_improvement_vs_raw,mean_logloss_improvement_vs_raw,all_mappings_non_decreasing,auc_admissible,improvement_admissible,admissible,complexity_order,selected
raw_identity,"2,3,4",0.26475909153084404,0.28251349441075163,0.7229408080729748,0.7617922482313254,0.26271542973850276,0.5428250876353904,0.0,0.0,0.0,True,True,True,True,0,True
isotonic,"2,3,4",0.2555719964262425,0.29554814057479234,0.7356662386688498,0.8802416870403164,0.2706633115012769,0.5272626848464407,0.06797447480712515,0.009187095104601528,-0.012725430595875054,True,False,True,False,2,False
sigmoid_platt,"2,3,4",0.26245187922573554,0.2863189536743848,0.7186244258668443,0.7662983167551046,0.2522665705184965,0.44743133275904273,0.27522298821899854,0.002307212305108497,0.004316382206130509,False,False,True,False,1,False
