market_breadth_regime,events,winning_events,nonwinning_events,losing_events_negative_return,breakeven_events,win_rate,mean_corrected_event_return,median_corrected_event_return,corrected_event_return_standard_deviation,minimum_corrected_event_return,maximum_corrected_event_return,average_winning_return,average_losing_return,payoff_ratio,gross_profit_sum,gross_loss_absolute_sum,profit_factor,upper_barrier_events,lower_barrier_events,vertical_barrier_events,mean_label_event_holding_period_observations,median_label_event_holding_period_observations
recovery_negative,1337,711,626,626,0,0.531787584143605,0.07340803749757208,0.0183486238532109,0.21994728729813293,-0.15,1.4499453949763377,0.2314277496914584,-0.1060680253935672,2.181880437886364,164.54513003062692,66.39858389637307,2.478142158685631,505,319,513,20.240089753178758,22.0
recovery_positive,478,312,166,165,1,0.6527196652719666,0.1772832582784525,0.17294484389002768,0.2908078502494627,-0.15,1.7567567567567566,0.32911680917976543,-0.10874573943628192,3.026480033938313,102.68444446408682,17.943047006986518,5.72279860962881,266,90,122,18.343096234309623,18.0
