dEven,fold_id,candidate_events,required_quota,selected_signals,selected_positive_labels,raw_score_cutoff,minimum_raw_score,maximum_raw_score
2017-09-19,1,119,6,6,2,0.6733298897743225,0.5434591174125671,0.7220383286476135
2017-09-20,1,121,7,7,2,0.6682710647583008,0.5274510383605957,0.6822057962417603
2017-09-23,1,119,6,6,5,0.6279007196426392,0.4876030683517456,0.6483789682388306
2017-09-24,1,110,6,6,3,0.6141920685768127,0.4621270596981048,0.6726512312889099
2017-09-25,1,111,6,6,3,0.5907748937606812,0.4631697535514831,0.6262738704681396
2017-09-26,1,114,6,6,1,0.5972797870635986,0.4562027156352997,0.6243312954902649
2017-09-27,1,108,6,6,0,0.5765370726585388,0.4516164660453796,0.5939569473266602
2017-10-02,1,122,7,7,1,0.6100062131881714,0.4737061262130737,0.6429190039634705
2017-10-03,1,126,7,7,2,0.6358849406242371,0.4974659979343414,0.6444016695022583
2017-10-04,1,123,7,7,2,0.6094201803207397,0.4960600733757019,0.690345048904419
2017-10-07,1,115,6,6,3,0.6743892431259155,0.5345368981361389,0.7174825072288513
2017-10-08,1,114,6,6,4,0.6879652142524719,0.568231463432312,0.7052209973335266
2017-10-09,1,103,6,6,4,0.6541768312454224,0.5689705610275269,0.6795119643211365
2017-10-10,1,110,6,6,1,0.6530153751373291,0.5718218088150024,0.6840637922286987
2017-10-11,1,108,6,6,4,0.625577449798584,0.5290745496749878,0.6568878889083862
2017-10-14,1,116,6,6,2,0.6605981588363647,0.5752852559089661,0.7082725167274475
2017-10-15,1,120,6,6,5,0.6374975442886353,0.5627264976501465,0.702375054359436
2017-10-16,1,122,7,7,4,0.6274148225784302,0.5439131259918213,0.6655316948890686
2017-10-17,1,109,6,6,4,0.613592803478241,0.5418621897697449,0.6439511179924011
2017-10-18,1,109,6,6,3,0.6359882950782776,0.5395376086235046,0.6865692734718323
2017-10-21,1,110,6,6,3,0.5742369890213013,0.4909099340438843,0.5991698503494263
2017-10-22,1,104,6,6,2,0.5635892748832703,0.4676514267921448,0.6054744124412537
2017-10-23,1,92,5,5,4,0.606658399105072,0.4967724084854126,0.6306408047676086
2017-10-24,1,83,5,5,3,0.599315881729126,0.5089426040649414,0.65754634141922
