scenario,avg_buy_anchor_irr,initial_capital_irr,is_primary,currency,customer_rows,source_column,trim_fraction_each_tail,arithmetic_mean_avg_buy_irr,median_avg_buy_irr,trimmed_mean_avg_buy_irr,cost_adjusted_stop_loss_fraction,risk_per_lot_fraction,implied_initial_lot_weight,primary_initial_capital_irr,median_sensitivity_initial_capital_irr,arithmetic_mean_sensitivity_initial_capital_irr,interpretation
primary_trimmed_mean_proxy,620315055.56125,20316282773.64711,True,IRR,500,avg_Buy,0.1,6094947160.18146,442389804.85,620315055.56125,0.16375777591973245,0.005,0.03053290124342432,20316282773.64711,14488954106.360094,199618998259.92105,customer_transaction_size_anchored_initial_capital_proxy
median_proxy,442389804.85,14488954106.360094,False,IRR,500,avg_Buy,0.1,6094947160.18146,442389804.85,620315055.56125,0.16375777591973245,0.005,0.03053290124342432,20316282773.64711,14488954106.360094,199618998259.92105,customer_transaction_size_anchored_initial_capital_proxy
arithmetic_mean_proxy,6094947160.18146,199618998259.92105,False,IRR,500,avg_Buy,0.1,6094947160.18146,442389804.85,620315055.56125,0.16375777591973245,0.005,0.03053290124342432,20316282773.64711,14488954106.360094,199618998259.92105,customer_transaction_size_anchored_initial_capital_proxy
