model_name,trial_number,objective_value,mean_roc_auc,min_roc_auc,std_roc_auc,best_mean_roc_auc,near_best_mean_auc_lower_bound,inside_near_best_mean_auc_band,hierarchical_rank,selected_by_hierarchy
xgboost,25,0.5487967820210273,0.5487967820210273,0.4853846305916497,0.06069149378648962,0.5487967820210273,0.5437967820210273,True,1.0,True
xgboost,28,0.5467328880533385,0.5467328880533385,0.45824178049595476,0.07067636188965726,0.5487967820210273,0.5437967820210273,True,2.0,False
xgboost,11,0.5397130348131439,0.5397130348131439,0.46288324554609145,0.06490029826907023,0.5487967820210273,0.5437967820210273,False,,False
xgboost,12,0.5396466466276681,0.5396466466276681,0.4727353638136453,0.0549327383553055,0.5487967820210273,0.5437967820210273,False,,False
xgboost,29,0.5381765780121374,0.5381765780121374,0.4636455630491617,0.060411516612521976,0.5487967820210273,0.5437967820210273,False,,False
xgboost,13,0.5375228846705857,0.5375228846705857,0.46382053666959344,0.054054017687001146,0.5487967820210273,0.5437967820210273,False,,False
xgboost,19,0.536920990911742,0.536920990911742,0.47057715183151855,0.05101824140086105,0.5487967820210273,0.5437967820210273,False,,False
xgboost,21,0.5355271108453576,0.5355271108453576,0.4590498303729503,0.06460430868869077,0.5487967820210273,0.5437967820210273,False,,False
xgboost,23,0.5354551816410634,0.5354551816410634,0.4652548196377113,0.04820901996598802,0.5487967820210273,0.5437967820210273,False,,False
xgboost,16,0.5353801310391854,0.5353801310391854,0.47678757801018123,0.047383267711978524,0.5487967820210273,0.5437967820210273,False,,False
xgboost,17,0.5349096559324772,0.5349096559324772,0.47825347126077705,0.05791116251335079,0.5487967820210273,0.5437967820210273,False,,False
xgboost,26,0.5343165772834066,0.5343165772834066,0.46052571014346655,0.05168601959286309,0.5487967820210273,0.5437967820210273,False,,False
xgboost,18,0.532913483364794,0.532913483364794,0.4763211825049227,0.037805149816259466,0.5487967820210273,0.5437967820210273,False,,False
xgboost,27,0.531270637092277,0.531270637092277,0.4532772401472976,0.05479146112733175,0.5487967820210273,0.5437967820210273,False,,False
xgboost,6,0.5307389933404432,0.5307389933404432,0.4869835905470317,0.03334796151431782,0.5487967820210273,0.5437967820210273,False,,False
xgboost,14,0.5265891487472709,0.5265891487472709,0.47136237261187897,0.03543298289931316,0.5487967820210273,0.5437967820210273,False,,False
xgboost,24,0.5261823121790499,0.5261823121790499,0.47079272081550355,0.03561332199059754,0.5487967820210273,0.5437967820210273,False,,False
xgboost,7,0.5238378252345373,0.5238378252345373,0.4910489663108607,0.038059124787727064,0.5487967820210273,0.5437967820210273,False,,False
xgboost,2,0.5203041123486398,0.5203041123486398,0.48671020484797134,0.01947345997896005,0.5487967820210273,0.5437967820210273,False,,False
xgboost,15,0.5196091894362025,0.5196091894362025,0.4509902134574317,0.04348808686125847,0.5487967820210273,0.5437967820210273,False,,False
xgboost,22,0.5195285931391181,0.5195285931391181,0.4754156581088052,0.03725746929807884,0.5487967820210273,0.5437967820210273,False,,False
xgboost,20,0.5183513087110659,0.5183513087110659,0.46186468951482773,0.04574018071050811,0.5487967820210273,0.5437967820210273,False,,False
xgboost,1,0.5167667544230337,0.5167667544230337,0.49299150851633333,0.020402496459163366,0.5487967820210273,0.5437967820210273,False,,False
xgboost,0,0.5134965125301981,0.5134965125301981,0.4833697795006875,0.0305112071648054,0.5487967820210273,0.5437967820210273,False,,False
xgboost,3,0.5126612235851125,0.5126612235851125,0.48058651454291346,0.026751599582832592,0.5487967820210273,0.5437967820210273,False,,False
xgboost,10,0.5076449573559161,0.5076449573559161,0.4830010577790527,0.025577583399351653,0.5487967820210273,0.5437967820210273,False,,False
xgboost,5,0.5061206043944457,0.5061206043944457,0.46648226839399287,0.024790445248053874,0.5487967820210273,0.5437967820210273,False,,False
xgboost,4,0.5020366349325606,0.5020366349325606,0.4669289101188978,0.03583438348931877,0.5487967820210273,0.5437967820210273,False,,False
xgboost,8,0.4991446429657901,0.4991446429657901,0.4843623284372988,0.01630782067090075,0.5487967820210273,0.5437967820210273,False,,False
xgboost,9,0.48607453183596644,0.48607453183596644,0.4660919483315417,0.01609761661786367,0.5487967820210273,0.5437967820210273,False,,False
