model_name,trial_number,objective_value,mean_roc_auc,min_roc_auc,std_roc_auc,best_mean_roc_auc,near_best_mean_auc_lower_bound,inside_near_best_mean_auc_band,hierarchical_rank,selected_by_hierarchy
random_forest,16,0.5306366145467984,0.5306366145467984,0.4896235118801095,0.03880607193846436,0.5306366145467984,0.5256366145467984,True,1.0,True
random_forest,22,0.5251139080363075,0.5251139080363075,0.4913196786426248,0.029857866286547897,0.5306366145467984,0.5256366145467984,False,,False
random_forest,13,0.5225314096597936,0.5225314096597936,0.4927108651389253,0.025225415733999983,0.5306366145467984,0.5256366145467984,False,,False
random_forest,10,0.5223762002913162,0.5223762002913162,0.49279215902519913,0.025446171648334327,0.5306366145467984,0.5256366145467984,False,,False
random_forest,17,0.522150264235209,0.522150264235209,0.4872750415541529,0.03133583368153473,0.5306366145467984,0.5256366145467984,False,,False
random_forest,26,0.5220330018141339,0.5220330018141339,0.4936251748351048,0.02850475959644705,0.5306366145467984,0.5256366145467984,False,,False
random_forest,19,0.5216223208560665,0.5216223208560665,0.49215967602354954,0.02489984382871114,0.5306366145467984,0.5256366145467984,False,,False
random_forest,15,0.5215156340239127,0.5215156340239127,0.49207447719077363,0.02484992438714682,0.5306366145467984,0.5256366145467984,False,,False
random_forest,27,0.5214111954477975,0.5214111954477975,0.48830417245505964,0.030331450877208836,0.5306366145467984,0.5256366145467984,False,,False
random_forest,29,0.5213178155268468,0.5213178155268468,0.48773965130011054,0.024779642342875056,0.5306366145467984,0.5256366145467984,False,,False
random_forest,2,0.5211262210729556,0.5211262210729556,0.48773905964154957,0.024730490540054884,0.5306366145467984,0.5256366145467984,False,,False
random_forest,21,0.5191015238346832,0.5191015238346832,0.48435642931691836,0.032687588219555204,0.5306366145467984,0.5256366145467984,False,,False
random_forest,11,0.5175450660696056,0.5175450660696056,0.4849631948931189,0.02338395523613199,0.5306366145467984,0.5256366145467984,False,,False
random_forest,25,0.5166887409453496,0.5166887409453496,0.48983449732294226,0.0207353511075105,0.5306366145467984,0.5256366145467984,False,,False
random_forest,28,0.5163219038752104,0.5163219038752104,0.47723007023530817,0.02936657775100217,0.5306366145467984,0.5256366145467984,False,,False
random_forest,12,0.5150991716077191,0.5150991716077191,0.4928458526778038,0.021044111719233354,0.5306366145467984,0.5256366145467984,False,,False
random_forest,5,0.515073330217809,0.515073330217809,0.4867042882623619,0.02585963578416478,0.5306366145467984,0.5256366145467984,False,,False
random_forest,14,0.5146321288117747,0.5146321288117747,0.48162951445342983,0.02483982510451511,0.5306366145467984,0.5256366145467984,False,,False
random_forest,23,0.5135647608493598,0.5135647608493598,0.4778213638536642,0.02862830616886697,0.5306366145467984,0.5256366145467984,False,,False
random_forest,18,0.5134229393312001,0.5134229393312001,0.4796519318016481,0.02613084133573687,0.5306366145467984,0.5256366145467984,False,,False
random_forest,24,0.5113445295515796,0.5113445295515796,0.478063559458147,0.033478120117519265,0.5306366145467984,0.5256366145467984,False,,False
random_forest,7,0.5108876264131045,0.5108876264131045,0.4825441976688952,0.02927442980829297,0.5306366145467984,0.5256366145467984,False,,False
random_forest,3,0.5097497443416206,0.5097497443416206,0.47980472111976513,0.025714148312030175,0.5306366145467984,0.5256366145467984,False,,False
random_forest,6,0.5074112194348646,0.5074112194348646,0.46320544436319,0.03390645230665422,0.5306366145467984,0.5256366145467984,False,,False
random_forest,0,0.5057406419335989,0.5057406419335989,0.4774378107686591,0.021964361394204705,0.5306366145467984,0.5256366145467984,False,,False
random_forest,20,0.5054009222634702,0.5054009222634702,0.4804713119854018,0.027280359188188358,0.5306366145467984,0.5256366145467984,False,,False
random_forest,1,0.503444235091208,0.503444235091208,0.4857596856478622,0.015712801015219432,0.5306366145467984,0.5256366145467984,False,,False
random_forest,4,0.5030332849507577,0.5030332849507577,0.44783788796992663,0.03687261902458281,0.5306366145467984,0.5256366145467984,False,,False
random_forest,8,0.5012073432510993,0.5012073432510993,0.4737784876261524,0.0257975006309644,0.5306366145467984,0.5256366145467984,False,,False
random_forest,9,0.49998584220710685,0.49998584220710685,0.4799648991975767,0.01825592368731176,0.5306366145467984,0.5256366145467984,False,,False
