model_name,trial_number,objective_value,policy_complete,false_positive,precision,min_fold_specificity,std_fold_specificity,mean_average_precision,mean_roc_auc,policy_selection_rank,selected_by_policy_hierarchy
xgboost,10,0.5227934492043504,True,1029,0.6588196286472149,0.9445887445887445,0.004129262673777876,0.6223581419295476,0.5227934492043504,1,True
xgboost,4,0.5225563455558193,True,1032,0.6578249336870027,0.9411255411255411,0.004976270610759294,0.617113057101857,0.5225563455558193,2,False
xgboost,14,0.5289919676250102,True,1033,0.6574933687002652,0.9489177489177489,0.002339381178987767,0.6278024676653073,0.5289919676250102,3,False
xgboost,11,0.5268685265098071,True,1036,0.656498673740053,0.9411255411255411,0.004256156307496757,0.6250288644880102,0.5268685265098071,4,False
xgboost,1,0.5243680142794271,True,1045,0.6535145888594165,0.94679186228482,0.0028662959111706307,0.6236207012062885,0.5243680142794271,5,False
xgboost,27,0.5363471494431581,True,1046,0.653183023872679,0.9298701298701298,0.009838410438979091,0.629961701947108,0.5363471494431581,6,False
xgboost,18,0.5212092247968285,True,1047,0.6528514588859416,0.9437229437229437,0.003935252990589429,0.629697268583435,0.5212092247968285,7,False
xgboost,26,0.5456230605140748,True,1050,0.6518567639257294,0.9316017316017317,0.00835991417810194,0.6328391021957931,0.5456230605140748,8,False
xgboost,19,0.5210299925267388,True,1052,0.6511936339522546,0.9463203463203463,0.002140717190902321,0.6239872049729744,0.5210299925267388,9,False
xgboost,7,0.5316287270564153,True,1052,0.6511936339522546,0.9437229437229437,0.0033719121252485823,0.6296212304076305,0.5316287270564153,10,False
xgboost,28,0.5404183066786419,True,1053,0.6508620689655172,0.9411255411255411,0.004167610581475574,0.6372201682527265,0.5404183066786419,11,False
xgboost,22,0.5353164747926034,True,1055,0.6501989389920424,0.9402597402597402,0.004811771878792726,0.6324798481975724,0.5353164747926034,12,False
xgboost,13,0.5226260473437445,True,1057,0.6495358090185677,0.9333333333333333,0.006937952558816628,0.6222592470024139,0.5226260473437445,13,False
xgboost,5,0.5193001883120092,True,1057,0.6495358090185677,0.9324675324675324,0.007328339020418358,0.6137886289083895,0.5193001883120092,14,False
xgboost,25,0.5415356968337841,True,1059,0.6488726790450928,0.935064935064935,0.0073743062643685155,0.6322987733817251,0.5415356968337841,15,False
xgboost,0,0.5212500663867701,True,1069,0.6455570291777188,0.94679186228482,0.0020020120810291145,0.6244887670919669,0.5212500663867701,16,False
xgboost,21,0.5327268119008985,True,1070,0.6452254641909815,0.9445887445887445,0.0037984153664867427,0.6294481335106943,0.5327268119008985,17,False
xgboost,23,0.5422394286373509,True,1072,0.6445623342175066,0.935930735930736,0.005599433270101802,0.6311583347045435,0.5422394286373509,18,False
xgboost,8,0.5010374617656771,True,1074,0.6438992042440318,0.935930735930736,0.006947049490159024,0.6076792673009058,0.5010374617656771,19,False
xgboost,3,0.517186479349403,True,1075,0.6435676392572944,0.9437229437229437,0.0030104981963567875,0.6173308961747896,0.517186479349403,20,False
xgboost,24,0.5293854166966414,True,1077,0.6429045092838196,0.9411255411255411,0.004502469136573839,0.6313810391055317,0.5293854166966414,21,False
xgboost,17,0.503113214589227,True,1080,0.6419098143236074,0.9437229437229437,0.0023321307865894593,0.6123769064239628,0.503113214589227,22,False
xgboost,2,0.5189087299815961,True,1080,0.6419098143236074,0.9422926447574335,0.0037007831082984267,0.6309272442486841,0.5189087299815961,23,False
xgboost,29,0.5186381740637895,True,1084,0.6405835543766578,0.9385281385281385,0.004738404794442102,0.6239851196653513,0.5186381740637895,24,False
xgboost,12,0.5400741693764752,True,1085,0.6402519893899205,0.9385281385281385,0.004973886560062546,0.6362954720300211,0.5400741693764752,25,False
xgboost,9,0.48769567496040656,True,1096,0.636604774535809,0.9376623376623376,0.004437643334244805,0.6010855677126393,0.48769567496040656,26,False
xgboost,16,0.5421368938906779,True,1098,0.6359416445623343,0.9367965367965368,0.0059827017960693354,0.6409097873474651,0.5421368938906779,27,False
xgboost,6,0.5349136616084801,True,1105,0.6336206896551724,0.941991341991342,0.003306451729997251,0.6335799944901532,0.5349136616084801,28,False
xgboost,15,0.5264402037040334,True,1108,0.6326259946949602,0.940923317683881,0.0038083190139055257,0.6326886688013441,0.5264402037040334,29,False
xgboost,20,0.5325530783408461,True,1170,0.6120689655172413,0.9307511737089202,0.007296491074882521,0.6365497308069645,0.5325530783408461,30,False
