model_name,feature_set_name,folds,feature_count,mean_roc_auc,std_roc_auc,min_roc_auc,mean_average_precision,mean_log_loss,mean_brier_score,mean_specificity_at_0_50,mean_sensitivity_at_0_50,total_fit_seconds,total_inference_seconds
dummy_prior,I_full_40,5,40,0.5,0.0,0.5,0.5947919272927059,0.6988559258333928,0.25285154727055975,0.6,0.4,4.997004100005142,0.18343650001042988
logistic_regression,I_full_40,5,40,0.5206402548408479,0.10674752380299926,0.41692223097722875,0.6200695387864723,0.7506409959889737,0.26953968371623477,0.3089956781449611,0.6945580226050823,23.612985099985963,0.20842509999056347
random_forest,A_baseline_35,5,35,0.5107614665664388,0.02405260555440099,0.48776272598398734,0.6178554188242009,0.7485577224292804,0.2762662318281524,0.35867008263854055,0.6349029361160163,123.58200239998405,0.29569110000738874
random_forest,B_plus_started,5,36,0.5023540470358512,0.023514781623823717,0.4758323058196325,0.613037116318241,0.7492618697799341,0.27641942904857136,0.3597690715292295,0.626758548642336,130.98668329999782,0.3119672000029823
random_forest,C_plus_breadth_raw,5,36,0.5014335805597453,0.026008983173601348,0.47277264218146875,0.6128496051630788,0.7512675464832929,0.277537555943613,0.35840890292388206,0.6268558064589858,129.304363800009,0.2747543000004953
random_forest,D_plus_breadth_ema30,5,36,0.5038137564376755,0.030532776807929658,0.46593846855595145,0.6103518926597085,0.74438021711565,0.27403767260980283,0.34310481341934135,0.644819988571963,135.39284960000077,0.36942550001549534
random_forest,E_plus_breadth_slope5,5,36,0.5043518096950959,0.020489393618322763,0.48200118664981173,0.6127057991587552,0.7486039908647826,0.27625867036698565,0.3462939375061486,0.6355826355469305,132.08135629998287,0.3114547000004677
random_forest,F_plus_all_continuous_breadth,5,38,0.519092507031684,0.03512017247459073,0.4705439003528291,0.6202740954054106,0.7391347606438643,0.27217781033808736,0.3567185294839127,0.6425229331496317,131.6384151000093,0.30265710000821855
random_forest,G_plus_breadth_regime,5,36,0.5115311719222791,0.02478569322203323,0.48043034088210773,0.6165679371217643,0.7405578712286534,0.2723598049446184,0.3578170576561839,0.6343426290019625,126.79720399998769,0.3084503000136465
random_forest,H_plus_slope5_and_regime,5,37,0.5026788815797613,0.026108132528877274,0.4781303076703405,0.6112050833322226,0.7435633337440437,0.2739380586453574,0.3577529345654059,0.6279747652065677,131.32337730001018,0.3483822999987751
random_forest,I_full_40,5,40,0.5039272564036843,0.030655736924627346,0.4744264602100344,0.6117645118320076,0.7415205739140307,0.27306210131421016,0.34830504575138,0.6354019857028695,133.4393917999987,0.3471230999857653
xgboost,A_baseline_35,5,35,0.5106476029570408,0.026538310707215903,0.4845270636458947,0.6170573276199892,0.7167942189562729,0.261740285136299,0.4188925752849896,0.5871606104006555,17.031356899999082,0.2511252999975113
xgboost,B_plus_started,5,36,0.5033583063740299,0.021147028072515534,0.47966736058960563,0.6124367309934338,0.721653664459421,0.2641088548101794,0.4202393592095559,0.5800245378181506,17.083024699997623,0.2551617000135593
xgboost,C_plus_breadth_raw,5,36,0.5088843924764579,0.02453167432936998,0.4802800742563195,0.6147335149045533,0.7221562119214852,0.2643759605607433,0.4293274216267058,0.5738077132293744,17.18212329999369,0.2217514000076335
xgboost,D_plus_breadth_ema30,5,36,0.5062452783314446,0.03543084086025403,0.46609836495821566,0.6149949898469853,0.720395370654604,0.2635252576982911,0.41930809077109005,0.5741947861990303,17.043448699987493,0.22287930001039058
xgboost,E_plus_breadth_slope5,5,36,0.512904585104372,0.02596934421169542,0.4863350702362843,0.6170421976436755,0.7187092231600611,0.2626833741201507,0.4242016949699707,0.5837030062461845,17.03692100000626,0.22763139999005944
xgboost,F_plus_all_continuous_breadth,5,38,0.5125683981976895,0.03275702759984687,0.4641567604892466,0.6179231236388334,0.711825275751457,0.2594086569401498,0.4042092456252454,0.5927994473584921,18.633197900024243,0.2554835000046296
xgboost,G_plus_breadth_regime,5,36,0.5136042280173116,0.03001601870003572,0.4743493679641271,0.6118336214163083,0.7176259351571392,0.26210645951495365,0.4279871308310622,0.5824000698135277,17.236751699994784,0.26895140000851825
xgboost,H_plus_slope5_and_regime,5,37,0.5171687360926565,0.01985066850620656,0.4898339056643813,0.6173852878018447,0.7139864131748828,0.26038829895030685,0.4251587207479469,0.5898245448204458,17.919426200009184,0.29107970000768546
xgboost,I_full_40,5,40,0.5227934492043504,0.03162538789114246,0.4827992493066056,0.6223581419295476,0.7095870623190209,0.2582659974990865,0.395310812755612,0.6136340141401939,19.292944400018314,0.30428210001264233
