events,positive_fraction,roc_auc,average_precision,log_loss,brier_score,threshold,accuracy,balanced_accuracy,precision,sensitivity,recall,specificity,f1,mcc,tn,fp,fn,tp,model_name,feature_set_name,feature_count,numeric_feature_count,categorical_feature_count,fold_id,train_events,validation_events,train_positive_fraction,validation_positive_fraction,average_uniqueness_weighting_applied,train_sample_weight_mean,train_sample_weight_min,train_sample_weight_max,validation_metrics_weighted,fit_seconds,inference_seconds
10344,0.3857308584686775,0.5,0.3857308584686775,0.6941960415928232,0.25052442688882876,0.5,0.3857308584686775,0.5,0.3857308584686775,1.0,1.0,0.0,0.556718292172457,0.0,0,6354,0,3990,dummy_prior,I_full_40,40,38,2,1,62717,10344,0.5022721112298101,0.3857308584686775,False,1.0,1.0,1.0,False,0.8480465000029653,0.04043620001175441
10408,0.46666026133743277,0.5,0.46666026133743277,0.6916439529380328,0.2492485645989456,0.5,0.5333397386625672,0.5,0.0,0.0,0.0,1.0,0.0,0.0,5551,0,4857,0,dummy_prior,I_full_40,40,38,2,2,73590,10408,0.4856366354124202,0.46666026133743277,False,1.0,1.0,1.0,False,0.8913627000001725,0.04435820000071544
10397,0.7263633740502068,0.5,0.7263633740502068,0.7174014392317511,0.26211646045741077,0.5,0.2736366259497932,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2845,0,7552,0,dummy_prior,I_full_40,40,38,2,3,83825,10397,0.4746555323590814,0.7263633740502068,False,1.0,1.0,1.0,False,0.9609404000075301,0.03517370000190567
10319,0.888070549471848,0.5,0.888070549471848,0.6959178344939658,0.25138532110268286,0.5,0.11192945052815195,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1155,0,9164,0,dummy_prior,I_full_40,40,38,2,4,94059,10319,0.49821920284077015,0.888070549471848,False,1.0,1.0,1.0,False,1.0282123000069987,0.03007459999935236
10372,0.5071345931353645,0.5,0.5071345931353645,0.6951203609103918,0.25098296330493075,0.5,0.5071345931353645,0.5,0.5071345931353645,1.0,1.0,0.0,0.672978505629478,0.0,0,5112,0,5260,dummy_prior,I_full_40,40,38,2,5,107360,10372,0.5392883755588673,0.5071345931353645,False,1.0,1.0,1.0,False,1.2684421999874758,0.033393799996702
10344,0.3857308584686775,0.43618378650434714,0.3523036831728752,0.7775744720909942,0.2894623733888143,0.5,0.4235305491105955,0.44540186632776463,0.34318868224447624,0.5411027568922305,0.5411027568922305,0.3497009757632987,0.4199980546639432,-0.10888541275681428,2222,4132,1831,2159,logistic_regression,I_full_40,40,38,2,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,5.172826499998337,0.052608899990445934
10408,0.46666026133743277,0.46005536769922795,0.4413554466831937,0.7344802848284461,0.2696407638245342,0.5,0.45541890853189854,0.4731288921894335,0.44922999874796543,0.7387276096355775,0.7387276096355775,0.2075301747432895,0.5587044534412956,-0.06345940495749437,1152,4399,1269,3588,logistic_regression,I_full_40,40,38,2,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,3.532986299993354,0.035364399998798035
10397,0.7263633740502068,0.6923153074826488,0.8443388826164195,0.6799592402650805,0.24250495867584773,0.5,0.5786284505145715,0.627461294718656,0.8389993585631815,0.5195974576271186,0.5195974576271186,0.7353251318101933,0.6417532095837762,0.22845399022733445,2092,753,3628,3924,logistic_regression,I_full_40,40,38,2,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,3.1410772999952314,0.04434870000113733
10319,0.888070549471848,0.41692223097722875,0.861176050430444,0.6346821280172498,0.2215588812731377,0.5,0.6522918887489098,0.45729699879634406,0.8762483130904184,0.7085333915320821,0.7085333915320821,0.20606060606060606,0.7835163509110655,-0.05984680391534148,238,917,2671,6493,logistic_regression,I_full_40,40,38,2,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,5.577265800005989,0.04143070000282023
10372,0.5071345931353645,0.5977245815407868,0.6011736310294289,0.9265088547430976,0.32453144141883983,0.5,0.5121480910142692,0.5055951998429105,0.5100502512562815,0.964828897338403,0.964828897338403,0.04636150234741784,0.6673241288625904,0.028318231465158997,237,4875,185,5075,logistic_regression,I_full_40,40,38,2,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,6.188829199993052,0.034672399997361936
10344,0.3857308584686775,0.48776272598398734,0.3840547132963972,0.8002929085969236,0.3002413164067322,0.5,0.4133797370456303,0.48152415978567764,0.3748192771084337,0.7796992481203008,0.7796992481203008,0.18334907145105445,0.5062652563059398,-0.0451715251882643,1165,5189,879,3111,random_forest,A_baseline_35,35,34,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,17.40583209999022,0.050697400001809
10408,0.46666026133743277,0.4973031251902038,0.4745830919151811,0.7165452140598572,0.2612973606866442,0.5,0.4700230591852421,0.4904109448809173,0.4607410937686167,0.7961704756022236,0.7961704756022236,0.1846514141596109,0.5836981132075472,-0.02421471373931071,1025,4526,990,3867,random_forest,A_baseline_35,35,34,1,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,20.1518664000032,0.05521540000336245
10397,0.7263633740502068,0.5412472818801942,0.7807671138328582,0.8015517928156478,0.3016014805056911,0.5,0.37818601519669137,0.5444733270531114,0.842039018250472,0.17717161016949154,0.17717161016949154,0.9117750439367311,0.2927469642271086,0.11020495976889028,2594,251,6214,1338,random_forest,A_baseline_35,35,34,1,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,23.674748599994928,0.0544891000026837
10319,0.888070549471848,0.4888939592344219,0.8962113280871185,0.670597693664153,0.24216274181986208,0.5,0.5076073262913073,0.47798849629927764,0.8796726799330482,0.5161501527717154,0.5161501527717154,0.43982683982683984,0.6505742383604979,-0.027783813261229102,508,647,4434,4730,random_forest,A_baseline_35,35,34,1,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,27.62591620000603,0.05372029999853112
10372,0.5071345931353645,0.5386002405433871,0.5536608469894497,0.7538010030098207,0.2760282597218325,0.5,0.4954685692248361,0.4895356188674081,0.501421501526798,0.9053231939163499,0.9053231939163499,0.07374804381846635,0.6453886291251609,-0.03764736580379131,377,4735,498,4762,random_forest,A_baseline_35,35,34,1,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,34.72363909998967,0.08156890000100248
10344,0.3857308584686775,0.4758323058196325,0.3758312315001294,0.8031810880301375,0.3016659011135649,0.5,0.4085460170146945,0.47703015802016846,0.37220754263752104,0.7766917293233083,0.7766917293233083,0.17736858671702865,0.5032478077297824,-0.05643119823963499,1127,5227,891,3099,random_forest,B_plus_started,36,35,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,18.143018000002485,0.05925520000164397
10408,0.46666026133743277,0.49660274853421804,0.4745406058733568,0.7166804288284261,0.26138607548692905,0.5,0.4690622598001537,0.4876954878169957,0.4588104913188031,0.7671402100061766,0.7671402100061766,0.2082507656278148,0.5742024965325936,-0.029650104212098596,1156,4395,1131,3726,random_forest,B_plus_started,36,35,1,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,22.756918999992195,0.0769985000079032
10397,0.7263633740502068,0.5270582776056716,0.7730296081415582,0.7973735325406294,0.2995749755756635,0.5,0.38963162450706934,0.5495040129501653,0.8426136363636364,0.1963718220338983,0.1963718220338983,0.9026362038664323,0.31851374570446733,0.11770766202731663,2568,277,6069,1483,random_forest,B_plus_started,36,35,1,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,24.680887800001074,0.058981399997719564
10319,0.888070549471848,0.4797822176368663,0.8938369260744474,0.6708027958699324,0.242137411925763,0.5,0.49200503924798916,0.4654207316036212,0.8745225362872422,0.49967263203841117,0.49967263203841117,0.43116883116883115,0.6359722222222223,-0.043613350812373816,498,657,4585,4579,random_forest,B_plus_started,36,35,1,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,30.977471000005607,0.059064800007035956
10372,0.5071345931353645,0.5324946855828677,0.5479472100017135,0.7582715036305455,0.2773327811409363,0.5,0.4924797531816429,0.4866686600379633,0.4997874149659864,0.8939163498098859,0.8939163498098859,0.07942097026604068,0.6411235342241615,-0.04590974943495956,406,4706,558,4702,random_forest,B_plus_started,36,35,1,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,34.42838749999646,0.05766729998867959
10344,0.3857308584686775,0.47277264218146875,0.3716311453321749,0.8079186569656602,0.3036888904137579,0.5,0.40806264501160094,0.4772428001069719,0.37238243388775877,0.7799498746867168,0.7799498746867168,0.17453572552722693,0.5040900623633271,-0.056238630757142354,1109,5245,878,3112,random_forest,C_plus_breadth_raw,36,35,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,17.94005860001198,0.06232129999261815
